Sample,Concentration (Corrected),Sample 2,Conc,Sample 3,Conc,Mineral_Treatment,Time,Conc.avg,Conc.stdev
Ctrl 1-1,0.123759863,Ctrl 2-1,0.096808579,Ctrl 3-1,0.046111028,Control,0,0.088893157,0.039424939
Ctrl 1-10,0.147360447,Ctrl 2-10,0.115893002,Ctrl 3-10,0.105622377,Control,32,0.122958609,0.021747614
Ctrl 1-2,0.122448719,Ctrl 2-2,0.117058463,Ctrl 3-2,0.098411088,Control,3,0.112639423,0.0126134
Ctrl 1-3,0.111813888,Ctrl 2-3,0.056600177,Ctrl 3-3,0.116184367,Control,6,0.094866144,0.03321127
Ctrl 1-4,0.113780604,Ctrl 2-4,0.120991893,Ctrl 3-4,0.093385037,Control,9,0.109385845,0.014318521
Ctrl 1-5,0.106933521,Ctrl 2-5,0.113707762,Ctrl 3-5,0.07014866,Control,13,0.096929981,0.023439325
Ctrl 1-6,0.10023212,Ctrl 2-6,0.073790725,Ctrl 3-6,0.018649855,Control,16,0.064224234,0.041623969
Ctrl 1-7,0.128203183,Ctrl 2-7,0.137672553,Ctrl 3-7,0.128348865,Control,20,0.1314082,0.005425577
Ctrl 1-8,0.125362372,Ctrl 2-8,0.111741047,Ctrl 3-8,0.110357062,Control,24,0.11582016,0.00829272
Ctrl 1-9,0.115674478,Ctrl 2-9,0.123104291,Ctrl 3-9,0.114436176,Ferrihydrite,28,0.117738315,0.004688137
Fhy 1-1 1:50,14.04932937,Fhy 2-1,12.23011769,Fhy 3-1,10.83520663,Ferrihydrite,0,12.37155123,1.611722316
Fhy 1-10,9.442116608,Fhy 2-10,8.588052266,Fhy 3-10,9.158035505,Ferrihydrite,32,9.062734793,0.434934644
Fhy 1-2,9.225413715,Fhy 2-2,9.139825178,Fhy 3-2,10.13410904,Ferrihydrite,3,9.499782644,0.551007106
Fhy 1-3,8.693672164,Fhy 2-3,11.21033937,Fhy 3-3,8.42233829,Ferrihydrite,6,9.442116608,1.537323753
Fhy 1-4,8.371349374,Fhy 2-4,9.928332342,Fhy 3-4,7.834144724,Ferrihydrite,9,8.71127548,1.087689185
Fhy 1-5,15.06546562,Fhy 2-5,9.108867622,Fhy 3-5,12.32845346,Ferrihydrite,13,12.16759557,2.981555194
Fhy 1-6,9.828175543,Fhy 2-6,13.59953429,Fhy 3-6,14.00562458,Ferrihydrite,16,12.47777814,2.303589105
Fhy 1-7,9.73894494,Fhy 2-7,8.389559701,Fhy 3-7,9.844564837,Ferrihydrite,20,9.324356493,0.811278418
Fhy 1-8,9.982963323,Fhy 2-8,7.868744345,Fhy 3-8,9.713450482,Ferrihydrite,24,9.18838605,1.150760603
Fhy 1-9,9.946542669,Fhy 2-9,11.23765486,Fhy 3-9,10.42183221,Ferrihydrite,28,10.53534325,0.652997887
Goe 1-1,0.087339209,Goe 2-1,0.062063275,Goe 3-1,0.004955689,Goethite,0,0.051452724,0.042204252
Goe 1-10,1.062320123,Goe 2-10,0.848166676,Goe 3-10,NaN,Goethite,32,0.955243399,0.151429355
Goe 1-2,0.330337814,Goe 2-2,0.274177165,Goe 3-2,0.28000447,Goethite,3,0.294839816,0.030879933
Goe 1-3,0.555490298,Goe 2-3,0.566052288,Goe 3-3,0.388173813,Goethite,6,0.5032388,0.099789039
Goe 1-4,0.814805356,Goe 2-4,0.701537122,Goe 3-4,0.556947124,Goethite,9,0.691096534,0.129245779
Goe 1-5,0.422336386,Goe 2-5,0.424594467,Goe 3-5,0.458975565,Goethite,13,0.435302139,0.020532852
Goe 1-6,0.471212904,Goe 2-6,0.54558388,Goe 3-6,0.639694851,Goethite,16,0.552163879,0.084433488
Goe 1-7,0.537644178,Goe 2-7,1.123871028,Goe 3-7,0.841610958,Goethite,20,0.834375388,0.293180397
Goe 1-8,0.910591677,Goe 2-8,0.825950077,Goe 3-8,0.825804394,Goethite,24,0.854115383,0.04890996
Goe 1-9,0.807739749,Goe 2-9,0.492555408,Goe 3-9,0.744367811,Goethite,28,0.681554323,0.166716655
Hem 1-1,0.059295305,Hem 2-1,0.081584745,Hem 3-1,NaN,Hematite,0,0.070440025,0.015761014
Hem 1-10,0.317153537,Hem 2-10,0.360712639,Hem 3-10,0.398881485,Hematite,32,0.358915887,0.040893589
Hem 1-2,0.238047876,Hem 2-2,NaN,Hem 3-2,0.179483464,Hematite,3,0.20876567,0.041411293
Hem 1-3,0.336383642,Hem 2-3,0.308339739,Hem 3-3,0.288891109,Hematite,6,0.31120483,0.023875547
Hem 1-4,0.382710715,Hem 2-4,0.358163194,Hem 3-4,0.47150427,Hematite,9,0.404126059,0.059628119
Hem 1-5,0.307174278,Hem 2-5,0.287288601,Hem 3-5,0.323782096,Hematite,13,0.306081658,0.018271266
Hem 1-6,0.136288568,Hem 2-6,0.019596792,Hem 3-6,0.292897381,Hematite,16,0.149594247,0.137135276
Hem 1-7,0.317372061,Hem 2-7,0.316133759,Hem 3-7,0.346435743,Hematite,20,0.326647188,0.017148573
Hem 1-8,0.290930666,Hem 2-8,0.316716489,Hem 3-8,0.300108671,Hematite,24,0.302585275,0.013070094
Hem 1-9,0.307902691,Hem 2-9,0.077869839,Hem 3-9,0.070294343,Hematite,28,0.152022291,0.135049515