Sample 1,Conc Dil (ppm),Conc Actual (mM),Sample 2,Conc Dil (ppm),Conc Actual (mM),Sample 3,Conc Dil (ppm),Conc Actual (mM),Mineral Type,Average.Conc,StdDev
Control 1-1,0.2,0.035813412,Control 2-1,0.19,0.034022742,Control 3-1,NaN,NaN,Control,0.034918077,0.001266195
Control 1-2,0.38,0.068045483,Control 2-2,0.74,0.132509625,Control 3-2,0.39,0.069836154,Control,0.090130421,0.036712387
Control 1-3,0.3,0.053720118,Control 2-3,0.4,0.071626824,Control 3-3,0.39,0.069836154,Control,0.065061032,0.009862245
Control 1-4,0.27,0.048348106,Control 2-4,0.28,0.050138777,Control 3-4,0.23,0.041185424,Control,0.046557436,0.004737669
Control 1-5,0.23,0.041185424,Control 2-5,0.17,0.0304414,Control 3-5,0.59,0.105649566,Control,0.05909213,0.040676217
Control 1-6,0.22,0.039394753,Control 2-6,0.22,0.039394753,Control 3-6,0.18,0.032232071,Control,0.037007193,0.004135377
Control 1-7,0.14,0.025069388,Control 2-7,NaN,NaN,Control 3-7,0.15,0.026860059,Control,0.025964724,0.001266195
Control 1-8,0.15,0.026860059,Control 2-8,0.15,0.026860059,Control 3-8,NaN,NaN,Control,0.026860059,0
Control 1-9,0.12,0.021488047,Control 2-9,0.14,0.025069388,Control 3-9,0.18,0.032232071,Control,0.026263169,0.005470589
Control 1-10,0.11,0.019697377,Control 2-10,0.15,0.026860059,Control 3-10,0.14,0.025069388,Control,0.023875608,0.003727578
Fhy 1-1,0.03,0.005372012,Fhy 2-1,0.04,0.007162682,Fhy 3-1,0.03,0.005372012,Ferrihydrite,0.005968902,0.001033844
Fhy 1-2,1.73,0.309786015,Fhy 2-2,3.42,0.612409347,Fhy 3-2,2.7,0.483481064,Ferrihydrite,0.468558809,0.151862522
Fhy 1-3,6.54,1.171098576,Fhy 2-3,6.04,1.081565046,Fhy 3-3,9.64,1.726206464,Ferrihydrite,1.326290029,0.349219028
Fhy 1-4,9.83,1.760229206,Fhy 2-4,NaN,NaN,Fhy 3-4,8.22,1.471931238,Ferrihydrite,1.616080222,0.203857448
Fhy 1-5,NaN,NaN,Fhy 2-5,10.48,1.876622795,Fhy 3-5,9.89,1.770973229,Ferrihydrite,1.823798012,0.074705524
Fhy 1-6,8.91,1.59548751,Fhy 2-6,11.13,1.993016385,Fhy 3-6,8.57,1.534604709,Ferrihydrite,1.707702868,0.248956886
Fhy 1-7,8.16,1.461187215,Fhy 2-7,8.14,1.457605873,Fhy 3-7,6.85,1.226609365,Ferrihydrite,1.381800818,0.134411669
Fhy 1-8,14.57,2.609007073,Fhy 2-8,8.26,1.479093921,Fhy 3-8,7.56,1.353746978,Ferrihydrite,1.813949324,0.69138671
Fhy 1-9,5.95,1.065449011,Fhy 2-9,6.05,1.083355717,Fhy 3-9,5.05,0.904288656,Ferrihydrite,1.017697794,0.098622447
Fhy 1-10,8.97,1.606231534,Fhy 2-10,5.29,0.947264751,Fhy 3-10,4,0.716268242,Ferrihydrite,1.089921509,0.461813683
Goe 1-1,0.03,0.005372012,Goe 2-1,0.05,0.008953353,Goe 3-1,0.04,0.007162682,Goethite,0.007162682,0.001790671
Goe 1-2,0.43,0.076998836,Goe 2-2,0.41,0.073417495,Goe 3-2,0.36,0.064464142,Goethite,0.071626824,0.006456355
Goe 1-3,0.58,0.103858895,Goe 2-3,0.52,0.093114872,Goe 3-3,0.51,0.091324201,Goethite,0.096099323,0.006779369
Goe 1-4,0.41,0.073417495,Goe 2-4,0.37,0.066254812,Goe 3-4,0.61,0.109230907,Goethite,0.082967738,0.023024803
Goe 1-5,0.28,0.050138777,Goe 2-5,0.29,0.051929448,Goe 3-5,0.26,0.046557436,Goethite,0.049541887,0.002735295
Goe 1-6,0.34,0.060882801,Goe 2-6,0.22,0.039394753,Goe 3-6,0.35,0.062673471,Goethite,0.054317008,0.01295403
Goe 1-7,0.2,0.035813412,Goe 2-7,0.27,0.048348106,Goe 3-7,0.17,0.0304414,Goethite,0.038200973,0.009189008
Goe 1-8,0.18,0.032232071,Goe 2-8,0.18,0.032232071,Goe 3-8,0.17,0.0304414,Goethite,0.031635181,0.001033844
Goe 1-9,0.15,0.026860059,Goe 2-9,0.17,0.0304414,Goe 3-9,0.2,0.035813412,Goethite,0.031038291,0.004506422
Goe 1-10,0.18,0.032232071,Goe 2-10,0.16,0.02865073,Goe 3-10,0.13,0.023278718,Goethite,0.028053839,0.004506422
Hem 1-1,0.05,0.008953353,Hem 2-1,0.03,0.005372012,Hem 3-1,0.03,0.005372012,Hematite,0.006565792,0.002067688
Hem 1-10,0.16,0.02865073,Hem 2-10,0.17,0.0304414,Hem 3-10,0.23,0.041185424,Hematite,0.033425851,0.006779369
Hem 1-2,0.34,0.060882801,Hem 2-2,0.27,0.048348106,Hem 3-2,0.32,0.057301459,Hematite,0.055510789,0.006456355
Hem 1-3,0.47,0.084161518,Hem 2-3,0.45,0.080580177,Hem 3-3,0.39,0.069836154,Hematite,0.078192616,0.007455156
Hem 1-4,0.38,0.068045483,Hem 2-4,0.41,0.073417495,Hem 3-4,0.39,0.069836154,Hematite,0.070433044,0.002735295
Hem 1-5,0.4,0.071626824,Hem 2-5,0.28,0.050138777,Hem 3-5,NaN,NaN,Hematite,0.060882801,0.015194344
Hem 1-6,0.25,0.044766765,Hem 2-6,0.24,0.042976095,Hem 3-6,0.24,0.042976095,Hematite,0.043572985,0.001033844
Hem 1-7,NaN,NaN,Hem 2-7,0.21,0.037604083,Hem 3-7,0.19,0.034022742,Hematite,0.035813412,0.002532391
Hem 1-8,0.15,0.026860059,Hem 2-8,0.16,0.02865073,Hem 3-8,0.17,0.0304414,Hematite,0.02865073,0.001790671
Hem 1-9,0.15,0.026860059,Hem 2-9,0.3,0.053720118,Hem 3-9,0.17,0.0304414,Hematite,0.037007193,0.014584167