Sample.Name,Concentration.Rep1,Concentration.Rep2,Concentration.Rep3,Conc.Avg,Conc.Std.Dev,Time.Days,Sample.Type
Goe 1,9.71724716,4.609307499,4.383739607,6.236764756,3.0162955,0,Goethite
Hem 1,4.777851835,4.51451397,10.85838561,6.716917138,3.589032952,0,Hematite
Ctr 1,4.738130626,5.378626606,4.752751484,4.956502905,0.365642936,0,Control
Fhy 1,4.570072599,4.586578654,4.526840425,4.561163893,0.030849437,0,Ferrihydrite
Goe 2,13.08900705,13.26333373,15.09080434,13.81438171,1.108845571,3,Goethite
Hem 2,13.42923422,13.13871356,13.39472905,13.32089228,0.158711896,3,Hematite
Ctr 2,15.26955268,15.56951418,15.41588074,15.41831587,0.14999558,3,Control
Fhy 2,NaN,13.11695701,12.96509469,13.04102585,0.107382876,3,Ferrihydrite
Goe 3,14.21410054,13.33834852,14.74587586,14.09944164,0.710734342,6,Goethite
Hem 3,13.69715432,12.23826977,11.99797826,12.64446745,0.919536429,6,Hematite
Ctr 3,13.83038112,14.01847455,13.5770961,13.80865059,0.22149017,6,Control
Fhy 3,10.50234378,12.66364615,11.58822854,11.58473949,1.080655407,6,Ferrihydrite
Goe 3,13.23525011,13.5298303,13.29456777,13.35321606,0.155801438,9,Goethite
Hem 3,13.06108269,13.13249582,12.94655145,13.04670999,0.093801697,9,Hematite
Ctr 4,15.25241317,9.220685841,13.47695291,12.65001731,3.099725878,9,Control
Fhy 4,12.24774917,7.066419875,9.262019971,9.52539634,2.60068619,9,Ferrihydrite
Goe 5,8.862247172,10.13681652,9.816856791,9.605306828,0.663096371,13,Goethite
Hem 5,9.93634178,8.705365119,8.710408056,9.117371652,0.709253418,13,Hematite
Ctr 5,10.73998799,9.896446796,11.04983164,10.56208881,0.59691728,13,Control
Fhy 5,11.49325136,11.6835167,12.05937001,11.74537935,0.28808475,13,Ferrihydrite
Goe 6,2.017082727,2.258852996,3.372799891,2.549578538,0.723106674,16,Goethite
Hem 6,2.990061434,1.983117643,3.462568767,2.811915948,0.755642619,16,Hematite
Ctr 6,6.305636484,7.04554633,3.148116566,5.49976646,2.069917767,16,Control
Fhy 6,9.774517805,10.46104215,8.735640515,9.657066823,0.868676436,16,Ferrihydrite
Goe 7,0.517728228,0.833707751,2.642991174,1.331475718,1.146741191,20,Goethite
Hem 7,0.609329034,1.716558704,3.536731886,1.954206542,1.478099873,20,Hematite
Ctr 7,2.411500804,2.201706051,0.609329034,1.740845297,0.985520293,20,Control
Fhy 7,5.495561028,3.109680587,2.584979495,3.730073704,1.551301689,20,Ferrihydrite
Goe 8,0.214503444,0.027461663,1.300165103,0.514043403,0.68719477,24,Goethite
Hem 8,0.085175001,2.452115644,4.542223916,2.359838187,2.229956862,24,Hematite
Ctr 8,0.408508114,0.214503444,0.178954067,0.267321875,0.123556081,24,Control
Fhy 8,1.018743709,0.085175001,0.062882766,0.388933825,0.545545235,24,Ferrihydrite
Goe 9,0.05288992,0.028563981,0.20645128,0.095968394,0.096450967,28,Goethite
Hem 9,0.118835536,1.895784189,4.801117642,2.271912455,2.363693251,28,Hematite
Ctr 9,0.088529057,0.062882766,0,0.050470607,0.045551012,28,Control
Fhy 9,0.031872712,0.038498171,0.034080013,0.034816965,0.003373648,28,Ferrihydrite
Goe 10,0.10870938,0.0418149,0,0.05017476,0.054834732,32,Goethite
Hem 10,0,0.30051415,4.859553845,1.720022665,2.723062469,32,Hematite
Ctr 10,0,0.072899608,0.029666595,0.034188734,0.03665959,32,Control
Fhy 10,0.159580114,1.421931695,0.257306018,0.612939276,0.702309859,32,Ferrihydrite