,Rep 1,Rep 2,Rep 3,Rep 1 (mmol),Rep 2 (mmol),Rep 3 (mmol),Mineral_Type,Avg.Conc,Std Dev,Time
Control 1,3.53E-06,3.45E-06,3.38E-06,0.0035,0.0035,0.0034,Control,0.0035,0.0001,0
Control 2,4.05E-06,4.09E-06,3.95E-06,0.004,0.0041,0.004,Control,0.004,0.0001,3
Control 3,9.90E-06,1.29E-05,1.03E-05,0.0099,0.0129,0.0103,Control,0.0111,0.0016,6
Control 4,6.23E-05,8.34E-05,6.84E-05,0.0623,0.0834,0.0684,Control,0.0714,0.0109,9
Control 5,4.97E-04,6.27E-04,5.85E-04,0.4973,0.6274,0.585,Control,0.5699,0.0664,13
Control 6,1.17E-03,1.09E-03,1.46E-03,1.1717,1.0893,1.4637,Control,1.2415,0.1967,16
Control 7,1.60E-03,1.60E-03,1.83E-03,1.6034,1.5979,1.828,Control,1.6764,0.1312,20
Control 8,1.90E-03,1.82E-03,1.96E-03,1.9018,1.8216,1.9588,Control,1.8941,0.0689,24
Control 9,2.03E-03,2.01E-03,2.09E-03,2.0283,2.0095,2.0852,Control,2.041,0.0394,28
Control 10,2.03E-03,2.04E-03,1.89E-03,2.0277,2.0355,1.8928,Control,1.9853,0.0803,32
Ferrihydrite 1,3.39E-06,4.68E-06,3.61E-06,0.0034,0.0047,0.0036,Ferrihydrite,0.0039,0.0007,0
Ferrihydrite 2,3.70E-06,3.81E-06,3.94E-06,0.0037,0.0038,0.0039,Ferrihydrite,0.0038,0.0001,3
Ferrihydrite 3,4.89E-06,4.50E-06,5.54E-06,0.0049,0.0045,0.0055,Ferrihydrite,0.005,0.0005,6
Ferrihydrite 4,2.43E-05,1.25E-05,2.45E-05,0.0243,0.0125,0.0245,Ferrihydrite,0.0205,0.0069,9
Ferrihydrite 5,1.49E-04,2.20E-04,1.15E-04,0.1489,0.22,0.1154,Ferrihydrite,0.1614,0.0534,13
Ferrihydrite 6,4.00E-04,4.13E-04,6.94E-04,0.3999,0.4128,0.6939,Ferrihydrite,0.5022,0.1662,16
Ferrihydrite 7,1.07E-03,1.23E-03,1.42E-03,1.0664,1.2285,1.4209,Ferrihydrite,1.2386,0.1775,20
Ferrihydrite 8,1.52E-03,1.60E-03,1.67E-03,1.5239,1.5953,1.6694,Ferrihydrite,1.5962,0.0728,24
Ferrihydrite 9,1.64E-03,1.66E-03,1.71E-03,1.6356,1.6583,1.707,Ferrihydrite,1.667,0.0365,28
Ferrihydrite 10,1.61E-03,1.51E-03,1.69E-03,1.608,1.5053,1.6904,Ferrihydrite,1.6012,0.0927,32
Goethite 1,3.66E-06,3.59E-06,3.51E-06,0.0037,0.0036,0.0035,Goethite,0.0036,0.0001,0
Goethite 2,3.92E-06,3.62E-06,3.94E-06,0.0039,0.0036,0.0039,Goethite,0.0038,0.0002,3
Goethite 3,6.82E-06,8.08E-06,7.53E-06,0.0068,0.0081,0.0075,Goethite,0.0075,0.0006,6
Goethite 4,4.66E-05,5.12E-05,4.47E-05,0.0466,0.0512,0.0447,Goethite,0.0475,0.0034,9
Goethite 5,6.08E-04,5.03E-04,4.72E-04,0.6084,0.5028,0.4719,Goethite,0.5277,0.0716,13
Goethite 6,1.54E-03,1.41E-03,1.21E-03,1.5367,1.4056,1.2141,Goethite,1.3855,0.1623,16
Goethite 7,1.76E-03,1.57E-03,1.26E-03,1.7561,1.575,1.2578,Goethite,1.5296,0.2522,20
Goethite 8,1.87E-03,1.85E-03,1.42E-03,1.8656,1.8478,1.4161,Goethite,1.7098,0.2545,24
Goethite 9,1.94E-03,1.93E-03,1.60E-03,1.935,1.9313,1.5974,Goethite,1.8212,0.1938,28
Goethite 10,2.02E-03,1.98E-03,1.60E-03,2.0209,1.9841,1.5998,Goethite,1.8682,0.2332,32
Hematite 1,3.82E-06,3.44E-06,3.53E-06,0.0038,0.0034,0.0035,Hematite,0.0036,0.0002,0
Hematite 2,4.30E-06,4.13E-06,4.18E-06,0.0043,0.0041,0.0042,Hematite,0.0042,0.0001,3
Hematite 3,9.18E-06,4.82E-05,3.91E-05,0.0092,0.0482,0.0391,Hematite,0.0322,0.0204,6
Hematite 4,6.67E-05,1.28E-04,1.17E-04,0.0667,0.1277,0.117,Hematite,0.1038,0.0326,9
Hematite 5,5.37E-04,8.17E-04,8.05E-04,0.5375,0.8167,0.8052,Hematite,0.7198,0.158,13
Hematite 6,1.37E-03,1.73E-03,1.46E-03,1.3672,1.7296,1.4566,Hematite,1.5178,0.1888,16
Hematite 7,1.77E-03,1.87E-03,1.50E-03,1.7694,1.8711,1.5033,Hematite,1.7146,0.1899,20
Hematite 8,1.94E-03,1.88E-03,1.51E-03,1.9419,1.8758,1.5052,Hematite,1.7743,0.2354,24
Hematite 9,1.88E-03,2.00E-03,1.52E-03,1.8768,2.0024,1.5182,Hematite,1.7991,0.2513,28
Hematite 10,1.83E-03,1.73E-03,1.35E-03,1.8296,1.7329,1.3529,Hematite,1.6385,0.252,32